-------------------------------------------------------------------------------
--
-- Title      : List of local and global libraries visible in Library Manager
-- Active-HDL : 11.1.261.7351
-- Workspace  : TutorVHDL
-- Design     : TutorVHDL
-- Author     : student
-- Company    : AGH
-- Date       : 2021-12-08 11:18:23
--
-------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Library                  | Mode  | Vendor   | Version                                        | Path                                                                        | Comment
vtl                      | RO    | No Data  | No Data                                        | C:/Aldec/Active-HDL-11.1/vlib/vtl                                           | No Data
vtl_dbg                  | RO    | No Data  | No Data                                        | C:/Aldec/Active-HDL-11.1/vlib/vtl                                           | No Data
synplify                 | RO    | Synopsys | Synopsys FPGA Products N-2017.09               | C:/Aldec/Active-HDL-11.1/vlib/synplify                                      | SYNPLIFY VHDL library
unimacro_ver             | RO    | Xilinx   | Xilinx Vivado 2019.1.3                         | C:/Aldec/Active-HDL-11.1/vlib/xilinx_vivado/unimacro_ver                    | UNIMACRO Verilog library
simprims_ver             | RO    | Xilinx   | Xilinx Vivado 2019.1.3                         | C:/Aldec/Active-HDL-11.1/vlib/xilinx_vivado/simprims_ver                    | SIMPRIM Verilog library
unifast_ver              | RO    | Xilinx   | Xilinx Vivado 2019.1.3                         | C:/Aldec/Active-HDL-11.1/vlib/xilinx_vivado/unifast_ver                     | UNIFAST Verilog library
secureip                 | RO    | Xilinx   | Xilinx Vivado 2019.1.3                         | C:/Aldec/Active-HDL-11.1/vlib/xilinx_vivado/secureip                        | SECUREIP library
unifast                  | RO    | Xilinx   | Xilinx Vivado 2019.1.3                         | C:/Aldec/Active-HDL-11.1/vlib/xilinx_vivado/unifast                         | UNIFAST VHDL library
unimacro                 | RO    | Xilinx   | Xilinx Vivado 2019.1.3                         | C:/Aldec/Active-HDL-11.1/vlib/xilinx_vivado/unimacro                        | UNIMACRO VHDL library
unisim                   | RO    | Xilinx   | Xilinx Vivado 2019.1.3                         | C:/Aldec/Active-HDL-11.1/vlib/xilinx_vivado/unisim                          | UNISIM VHDL library
unisims_ver              | RO    | Xilinx   | Xilinx Vivado 2019.1.3                         | C:/Aldec/Active-HDL-11.1/vlib/xilinx_vivado/unisims_ver                     | UNISIM Verilog library
xpm                      | RO    | Xilinx   | Xilinx Vivado 2019.1.3                         | C:/Aldec/Active-HDL-11.1/vlib/xilinx_vivado/xpm                             | XPM SystemVerilog library
xilinx_vip               | RO    | Xilinx   | Xilinx Vivado 2019.1.3                         | C:/Aldec/Active-HDL-11.1/vlib/xilinx_vivado/xilinx_vip                      | XILINX_VIP library
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

